"","x"
"toughness:vikingHelmet",0.00427593753635054
"toughness:wandOfFlames",0.00308800765110832
"toughness:zapHelmet",0.00560118314451072
"noAbilities:battleAxe",-0.0235767779230325
"noAbilities:bow",0.0193789904195879
"noAbilities:cornDog",0.0023576433627676
"noAbilities:devilHorns",-0.0282612241470207
"noAbilities:diamondSword",-0.0131219640958506
"noAbilities:fairyHat",-0.0292767295164605
"noAbilities:flamingoFloaty",0.00822379758220307
"noAbilities:frillySkirt",0.0080077425226192
"noAbilities:fullSuitOfArmor",-0.0235694911577297
"noAbilities:jellyhat",-0.00364083542424084
"noAbilities:laserBlaster",-0.0179317094724645
"noAbilities:rhinocerosBeetleHorn",-0.0283980851118385
"noAbilities:rollerBlades",-0.00382058908623549
"noAbilities:shield",-0.00225404429152883
"noAbilities:shiv",0.00173995154214091
"noAbilities:snowmanHead",-0.00878563025234501
"noAbilities:sportsJersey",-0.00756039172931729
"noAbilities:vikingHelmet",0.0129892218853795
"noAbilities:wandOfFlames",0.0075350920536779
"noAbilities:zapHelmet",0.00970571543530253
"extraDamageOnHit:battleAxe",-0.0483308095044762
"extraDamageOnHit:bow",-0.00508022255610073
"extraDamageOnHit:cornDog",0.01153112564945
"extraDamageOnHit:devilHorns",-0.019272533360979
"extraDamageOnHit:diamondSword",-0.0311425351004493
"extraDamageOnHit:fairyHat",-0.0180260481741888
"extraDamageOnHit:flamingoFloaty",0.0184076976115441
"extraDamageOnHit:frillySkirt",0.0196713944770409
"extraDamageOnHit:fullSuitOfArmor",0.00393763326088736
"extraDamageOnHit:jellyhat",-0.0276553343624927
"extraDamageOnHit:laserBlaster",-0.0137688119188636
"extraDamageOnHit:rhinocerosBeetleHorn",-0.0162839741161858
"extraDamageOnHit:rollerBlades",0.0123034098392977
"extraDamageOnHit:shield",-0.00635793323272491
"extraDamageOnHit:shiv",-0.0141148460212698
"extraDamageOnHit:snowmanHead",-0.00584291109048627
"extraDamageOnHit:sportsJersey",0.00264979438042534
"extraDamageOnHit:vikingHelmet",0.0160880316441747
"extraDamageOnHit:wandOfFlames",-0.00461499214281625
"extraDamageOnHit:zapHelmet",0.00533394643433517
"gainStrengthOnHitTaken:battleAxe",0.0044450828868319
"gainStrengthOnHitTaken:bow",0.00708515424581944
"gainStrengthOnHitTaken:cornDog",0.0120943527851073
"gainStrengthOnHitTaken:devilHorns",-0.0214114256387425
"gainStrengthOnHitTaken:diamondSword",-0.0148590948336415
"gainStrengthOnHitTaken:fairyHat",-0.0193014890890436
"gainStrengthOnHitTaken:flamingoFloaty",0.0213661099241056
"gainStrengthOnHitTaken:frillySkirt",0.00944509528086345
"gainStrengthOnHitTaken:fullSuitOfArmor",-0.0309072222050748
"gainStrengthOnHitTaken:jellyhat",-0.019891001928534
"gainStrengthOnHitTaken:laserBlaster",-0.0220763290398468
"gainStrengthOnHitTaken:rhinocerosBeetleHorn",-0.014996326495387
